sesor = 0	 output = 0
sen= 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
sensor = 0	 output = 0
